Number_Block,Number_Assignment,Number_New,Number_AssignOp,Number_BinaryOp,Number_TernaryOp,Number_Cast,Number_Exit,Number_Constant,Number_Variable,Number_Parameter,Number_FunctionCall,Number_Array,Number_ArrayElement,Number_ArrayOffset,Number_MethodCall,Number_If,Number_While,Number_Foreach,Number_ForeachVariable,State
1,11,1,0,2,0,0,0,3,23,14,4,0,0,0,3,0,1,0,0,Good
2,7,1,0,2,0,0,0,1,18,8,3,0,0,1,1,1,0,1,1,Good
2,8,1,0,2,0,0,0,1,20,9,3,1,0,1,3,1,0,1,1,Good
1,11,1,0,2,0,0,0,4,23,14,5,0,0,0,2,0,1,0,0,Good
1,6,1,0,2,0,0,0,3,14,11,4,0,0,0,1,0,0,1,1,Good
2,8,0,0,3,0,0,1,5,17,14,9,1,3,0,0,1,1,0,0,Good
1,12,1,0,2,0,0,0,4,25,12,4,1,1,1,3,0,1,0,0,Good
1,12,1,0,2,0,0,0,3,25,12,4,1,1,1,3,0,1,0,0,Good
1,12,1,1,2,0,0,0,3,25,14,6,0,0,0,1,0,1,0,0,Good
1,13,1,0,2,0,1,0,1,27,11,6,0,0,1,1,0,1,0,0,Good
1,12,1,0,2,0,0,0,2,26,11,4,0,0,1,2,0,1,0,0,Bad
1,12,1,0,2,0,0,0,1,26,10,3,0,0,1,3,0,1,0,0,Good
1,11,1,0,2,0,0,0,4,23,14,5,0,0,0,2,0,1,0,0,Good
1,12,1,0,2,0,0,0,3,25,12,4,1,1,1,3,0,1,0,0,Good
2,13,1,0,2,0,0,0,1,29,12,6,0,0,1,1,1,1,0,0,Good
1,6,1,0,2,0,0,0,3,14,13,4,0,0,0,1,0,0,1,1,Good
3,9,0,0,3,0,0,1,4,20,16,9,1,0,0,0,2,1,0,0,Good
2,9,0,0,3,0,0,1,5,19,13,9,2,4,1,0,1,1,0,0,Bad
2,9,0,0,3,0,0,1,6,19,16,10,1,3,0,0,1,1,0,0,Bad
1,12,1,1,2,0,0,0,1,26,9,3,0,0,1,2,0,1,0,0,Good
1,13,1,0,2,0,0,0,1,28,14,6,0,0,1,1,0,1,0,0,Good
1,12,1,0,2,0,0,0,3,25,11,4,1,1,1,3,0,1,0,0,Bad
2,12,1,0,2,0,0,0,1,26,11,5,0,0,1,2,1,1,0,0,Good
1,11,1,0,2,0,0,0,4,23,14,5,0,0,0,2,0,1,0,0,Bad
1,12,1,0,2,0,0,0,4,25,13,5,1,1,1,2,0,1,0,0,Good
2,10,0,0,3,0,0,1,5,21,14,10,1,3,1,0,1,1,0,0,Good
1,7,1,0,2,0,0,0,4,14,10,4,0,0,0,2,0,1,0,0,Good
2,7,1,0,2,0,0,0,3,17,12,4,1,0,0,3,1,0,1,1,Good
1,12,1,0,2,0,0,0,1,26,10,4,0,0,1,2,0,1,0,0,Good
2,12,1,0,2,0,0,0,3,26,13,4,1,1,1,3,1,1,0,0,Good
1,12,1,0,2,0,0,0,3,25,12,5,1,1,1,2,0,1,0,0,Good
1,12,1,0,2,0,0,0,1,25,9,4,0,0,1,3,0,1,0,0,Good
2,11,1,0,2,0,0,0,3,24,13,5,0,0,0,2,1,1,0,0,Good
1,8,0,0,2,0,0,0,3,16,10,7,1,1,1,0,0,1,0,0,Bad
1,7,1,0,2,0,0,0,3,14,10,4,0,0,0,2,0,1,0,0,Good
2,8,0,0,3,0,0,0,1,19,9,7,0,0,1,0,1,1,0,0,Good
2,9,0,0,3,0,0,1,5,19,15,9,3,8,1,0,1,1,0,0,Bad
2,9,0,0,3,0,0,1,5,19,13,9,2,4,1,0,1,1,0,0,Bad
1,8,1,0,2,0,0,0,3,18,12,4,2,1,1,3,0,0,1,1,Good
2,9,0,0,3,0,0,1,4,19,14,8,1,1,1,0,1,1,0,0,Good
1,11,1,0,2,0,0,0,3,23,13,5,0,0,0,2,0,1,0,0,Good
2,10,0,0,3,0,0,1,7,21,16,10,2,4,1,0,1,1,0,0,Good
2,7,1,0,2,0,0,0,3,17,11,4,1,1,1,1,1,0,1,1,Good
1,7,1,0,2,0,0,0,4,14,10,4,0,0,0,2,0,1,0,0,Good
1,12,1,0,2,0,0,0,3,25,16,7,0,0,0,1,0,1,0,0,Good
2,8,0,0,2,0,0,0,3,17,10,7,1,1,1,0,1,1,0,0,Good
1,11,1,0,2,0,0,0,2,24,10,3,0,0,0,3,0,1,0,0,Good
1,12,1,0,2,0,0,0,4,25,13,5,1,1,1,2,0,1,0,0,Good
1,13,1,0,2,0,0,0,1,27,12,7,0,0,1,1,0,1,0,0,Good
1,11,1,0,2,0,1,0,3,23,12,4,0,0,0,2,0,1,0,0,Bad
2,8,0,0,3,0,0,1,4,17,15,8,0,0,0,0,1,1,0,0,Bad
2,8,0,0,3,0,0,1,5,17,14,9,1,3,0,0,1,1,0,0,Bad
1,12,1,0,2,0,0,0,1,26,12,4,0,0,1,2,0,1,0,0,Bad
2,10,0,0,3,0,0,1,3,21,13,9,1,0,1,0,1,1,0,0,Bad
1,8,1,0,2,0,0,0,4,18,12,4,2,1,1,3,0,0,1,1,Good
1,11,1,0,2,0,0,0,3,23,14,4,1,4,0,3,0,1,0,0,Bad
1,6,1,0,2,0,0,0,4,14,12,4,0,0,0,1,0,0,1,1,Good
1,8,1,0,2,0,0,0,2,17,7,3,0,0,1,2,0,1,0,0,Good
2,12,1,0,2,0,0,0,3,26,11,4,1,1,1,3,1,1,0,0,Good
2,9,0,0,3,0,0,1,5,19,14,9,2,4,1,0,1,1,0,0,Good
2,9,0,0,3,0,0,1,6,19,17,10,1,3,0,0,1,1,0,0,Good
1,12,1,0,2,0,0,0,3,25,12,5,1,1,1,2,0,1,0,0,Good
1,12,1,0,2,0,1,0,1,25,9,4,0,0,1,2,0,1,0,0,Good
